1,50:0f:80:fd:7f,-56.63190184,4.327054362
2,50:0f:80:fd:7f,-61.575,4.619997294
3,50:0f:80:fd:7f,-68.01948052,4.888989457
4,50:0f:80:fd:7f,-74.02142857,4.2769613
5,50:0f:80:fd:7f,-75.9,3.6577
6,50:0f:80:fd:7f,-73.25833333,3.345384466
7,50:0f:80:fd:7f,-76.05333333,2.761126984
8,50:0f:80:fd:7f,-77.67647059,1.276958432
10,50:0f:80:fd:7f,-74.40206186,2.371044373
11,50:0f:80:fd:7f,-68.82692308,3.509444148
12,50:0f:80:fd:7f,-70.11111111,3.593547029
13,50:0f:80:fd:7f,-70.7826087,5.329354218
14,50:0f:80:fd:7f,-66.4040404,5.462302752
15,50:0f:80:fd:7f,-64.86614173,4.488589566
16,50:0f:80:fd:7f,-66.7514,5.613
17,50:0f:80:fd:7f,-62.5381,3.9037
18,50:0f:80:fd:7f,-70.49726776,3.726840055
19,50:0f:80:fd:7f,-59.3373494,3.315815001
1,50:0f:80:c0:ce,-70.75238095,3.953975582
2,50:0f:80:c0:ce,-73.43396226,3.853493558
3,50:0f:80:c0:ce,-66.10833333,2.920604485
4,50:0f:80:c0:ce,-69.61363636,5.24931125
5,50:0f:80:c0:ce,-71.4023,3.74
6,50:0f:80:c0:ce,-75.90625,2.428468846
10,50:0f:80:c0:ce,-73.72727273,2.157056458
11,50:0f:80:c0:ce,-73.34615385,4.561058478
12,50:0f:80:c0:ce,-61.83838384,2.823805981
13,50:0f:80:c0:ce,-51.15151515,3.922902544
14,50:0f:80:c0:ce,-54.0125,4.324331596
15,50:0f:80:c0:ce,-67.66666667,3.958939582
16,50:0f:80:c0:ce,-60.6835,8.148
17,50:0f:80:c0:ce,-67.4659,2.3834
18,50:0f:80:c0:ce,-76.4,5.973273809
1,38:90:a5:20:e9,-55.34705882,4.883660349
2,38:90:a5:20:e9,-47,3.144799482
3,38:90:a5:20:e9,-45.3045977,4.925220295
4,38:90:a5:20:e9,-49.02547771,3.271083586
5,38:90:a5:20:e9,-61.1889,2.8715
